rsme,method,label
0.0,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
2.23606797749979,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
2.23606797749979,traditional,K-02
2.23606797749979,traditional,K-02
2.23606797749979,traditional,K-02
2.0,traditional,K-02
2.23606797749979,traditional,K-02
2.23606797749979,traditional,K-02
0.0,traditional,K-02
1.0,traditional,K-02
2.8284271247461903,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
1.0,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
1.4142135623730951,traditional,K-02
2.0,traditional,K-02
1.4142135623730951,traditional,K-02
0.0,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
2.0,traditional,K-02
2.8284271247461903,traditional,K-02
2.0,traditional,K-02
2.23606797749979,traditional,K-02
1.4142135623730951,traditional,K-02
2.0,traditional,K-02
0.0,traditional,K-02
2.0,traditional,K-02
2.8284271247461903,traditional,K-02
1.0,traditional,K-02
1.0,traditional,K-02
2.23606797749979,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
2.0,traditional,K-02
1.4142135623730951,traditional,K-02
2.23606797749979,traditional,K-02
2.23606797749979,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
2.8284271247461903,traditional,K-02
0.0,traditional,K-02
1.4142135623730951,traditional,K-02
1.4142135623730951,traditional,K-02
0.0,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
2.23606797749979,traditional,K-02
2.23606797749979,traditional,K-02
1.0,traditional,K-02
2.23606797749979,traditional,K-02
1.0,traditional,K-02
1.0,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
2.0,traditional,K-02
0.0,traditional,K-02
2.0,traditional,K-02
0.0,traditional,K-02
2.0,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
7.280109889280518,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
2.8284271247461903,traditional,K-02
1.4142135623730951,traditional,K-02
7.280109889280518,traditional,K-02
2.8284271247461903,traditional,K-02
2.0,traditional,K-02
0.0,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
1.0,traditional,K-02
2.0,traditional,K-02
1.0,traditional,K-02
0.0,traditional,K-02
